question,question_short,key
Summary - Has a problem with Islamophobia : Which statement best describes your view about each of the following political parties?,Summary - Has problem with Islamophobia : Which statement best describes your view about each of following political parties?,372
Summary - Has a problem with Transphobia : Which statement best describes your view about each of the following political parties?,Summary - Has problem with Transphobia : Which statement best describes your view about each of following political parties?,373
Conservative Party: Which statement best describes your view about each of the following political parties?,Conservative Party: Which statement best describes your view about each of following political parties?,374
Labour Party: Which statement best describes your view about each of the following political parties?,Labour Party: Which statement best describes your view about each of following political parties?,375
Liberal Democrats: Which statement best describes your view about each of the following political parties?,Liberal Democrats: Which statement best describes your view about each of following political parties?,376
Green Party: Which statement best describes your view about each of the following political parties?,Green Party: Which statement best describes your view about each of following political parties?,377
Reform UK: Which statement best describes your view about each of the following political parties?,Reform UK: Which statement best describes your view about each of following political parties?,378
Summary Net Good: To what extent would you say that Keir Starmer has done a good or bad job in each of the following areas since becoming Labour leader?,Summary Net Good: To extent would say Keir Starmer done good or bad job in each of following areas since becoming Labour leader?,379
Improving Labour's image : To what extent would you say that Keir Starmer has done a good or bad job in each of the following areas since becoming Labour leader?,Improving Labour's image : To extent would say Keir Starmer done good or bad job in each of following areas since becoming Labour leader?,380
Dealing with allegations of anti-Semitism in the party : To what extent would you say that Keir Starmer has done a good or bad job in each of the following areas since becoming Labour leader?,Dealing with allegations of anti-Semitism in party : To extent would say Keir Starmer done good or bad job in each of following areas since becoming Labour leader?,381
Making Labour electable : To what extent would you say that Keir Starmer has done a good or bad job in each of the following areas since becoming Labour leader?,Making Labour electable : To extent would say Keir Starmer done good or bad job in each of following areas since becoming Labour leader?,382
Holding the government to account : To what extent would you say that Keir Starmer has done a good or bad job in each of the following areas since becoming Labour leader?,Holding government to account : To extent would say Keir Starmer done good or bad job in each of following areas since becoming Labour leader?,383
Presenting a clear vision of what Labour stands for : To what extent would you say that Keir Starmer has done a good or bad job in each of the following areas since becoming Labour leader?,Presenting clear vision of Labour stands : To extent would say Keir Starmer done good or bad job in each of following areas since becoming Labour leader?,384
Taking a lead during the coronavirus crisis : To what extent would you say that Keir Starmer has done a good or bad job in each of the following areas since becoming Labour leader?,Taking lead during coronavirus crisis : To extent would say Keir Starmer done good or bad job in each of following areas since becoming Labour leader?,385
Having a clear position on Brexit : To what extent would you say that Keir Starmer has done a good or bad job in each of the following areas since becoming Labour leader?,Having clear position on Brexit : To extent would say Keir Starmer done good or bad job in each of following areas since becoming Labour leader?,386
Presenting a credible economic alternative : To what extent would you say that Keir Starmer has done a good or bad job in each of the following areas since becoming Labour leader?,Presenting credible economic alternative : To extent would say Keir Starmer done good or bad job in each of following areas since becoming Labour leader?,387
"Summary Support : Assuming that the reasons for industrial action (going on strike), is related to disputes over pay and conditions (i.e. a workforce or union does not believe that the pay rise offered is satisfactory), to what extent would you support or oppose each of the following going on strike?","Summary Support : Assuming reasons industrial action (going on strike), is related to disputes over pay conditions (i.e. workforce or union does not believe pay rise offered i",388
"Summary Oppose : Assuming that the reasons for industrial action (going on strike), is related to disputes over pay and conditions (i.e. a workforce or union does not believe that the pay rise offered is satisfactory), to what extent would you support or oppose each of the following going on strike?","Summary Oppose : Assuming reasons industrial action (going on strike), is related to disputes over pay conditions (i.e. workforce or union does not believe pay rise offered is",389
"Nurses : Assuming that the reasons for industrial action (going on strike), is related to disputes over pay and conditions (i.e. a workforce or union does not believe that the pay rise offered is satisfactory), to what extent would you support or oppose each of the following going on strike?","Nurses : Assuming reasons industrial action (going on strike), is related to disputes over pay conditions (i.e. workforce or union does not believe pay rise offered is satisfa",390
"Junior doctors : Assuming that the reasons for industrial action (going on strike), is related to disputes over pay and conditions (i.e. a workforce or union does not believe that the pay rise offered is satisfactory), to what extent would you support or oppose each of the following going on strike?","Junior doctors : Assuming reasons industrial action (going on strike), is related to disputes over pay conditions (i.e. workforce or union does not believe pay rise offered is",391
"Senior doctors/Consultants : Assuming that the reasons for industrial action (going on strike), is related to disputes over pay and conditions (i.e. a workforce or union does not believe that the pay rise offered is satisfactory), to what extent would you support or oppose each of the following going on strike?","Senior doctors/Consultants : Assuming reasons industrial action (going on strike), is related to disputes over pay conditions (i.e. workforce or union does not believe pay ris",392
"Ambulance drivers : Assuming that the reasons for industrial action (going on strike), is related to disputes over pay and conditions (i.e. a workforce or union does not believe that the pay rise offered is satisfactory), to what extent would you support or oppose each of the following going on strike?","Ambulance drivers : Assuming reasons industrial action (going on strike), is related to disputes over pay conditions (i.e. workforce or union does not believe pay rise offered",393
"NHS support staff (e.g. maintenance, catering) : Assuming that the reasons for industrial action (going on strike), is related to disputes over pay and conditions (i.e. a workforce or union does not believe that the pay rise offered is satisfactory), to what extent would you support or oppose each of the following going on strike?","NHS support staff (e.g. maintenance, catering) : Assuming reasons industrial action (going on strike), is related to disputes over pay conditions (i.e. workforce or union does",394
To what extent would you say you have been affected by junior doctors striking in the past year?,To extent would say have been affected by junior doctors striking in past year?,395
Which of the following is most to blame for junior doctors taking industrial action (strikes)?,Which of following is most to blame junior doctors taking industrial action (strikes)?,396
Which of the following do you sympathise with most?,Which of following sympathise with most?,397
Sum: Support : To what extent do you support or oppose each of the following policies?,Sum: Support : To extent support or oppose each of following policies?,398
Sum: Oppose : To what extent do you support or oppose each of the following policies?,Sum: Oppose : To extent support or oppose each of following policies?,399
Abolishing inheritance tax : To what extent do you support or oppose each of the following policies?,Abolishing inheritance tax : To extent support or oppose each of following policies?,400
Reinstating fracking (the process of extracting shale gas) : To what extent do you support or oppose each of the following policies?,Reinstating fracking (the process of extracting shale gas) : To extent support or oppose each of following policies?,401
Removing the cap on banker's bonuses : To what extent do you support or oppose each of the following policies?,Removing cap on banker's bonuses : To extent support or oppose each of following policies?,402
Keeping the existing rate of corporation tax at 25% : To what extent do you support or oppose each of the following policies?,Keeping existing rate of corporation tax at 25% : To extent support or oppose each of following policies?,403
"Abolishing the 45% top rate of income tax for people earning over £125,000 a year : To what extent do you support or oppose each of the following policies?","Abolishing 45% top rate of income tax people earning over £125,000 year : To extent support or oppose each of following policies?",404
Scrap 'green levies' from energy bills : To what extent do you support or oppose each of the following policies?,Scrap 'green levies' from energy bills : To extent support or oppose each of following policies?,405
Putting the independent Bank of England under governmental control : To what extent do you support or oppose each of the following policies?,Putting independent Bank of England under governmental control : To extent support or oppose each of following policies?,406
Financially deregulate the City of London : To what extent do you support or oppose each of the following policies?,Financially deregulate City of London : To extent support or oppose each of following policies?,407
"Sum: Conservative : And thinking about the following policies, do they sound like more of a Conservative policy, or more of a Labour policy?","Sum: Conservative : And thinking about following policies, they sound like more of Conservative policy, or more of Labour policy?",408
"Sum: Labour : And thinking about the following policies, do they sound like more of a Conservative policy, or more of a Labour policy?","Sum: Labour : And thinking about following policies, they sound like more of Conservative policy, or more of Labour policy?",409
"Abolishing inheritance tax: And thinking about the following policies, do they sound like more of a Conservative policy, or more of a Labour policy?","Abolishing inheritance tax: And thinking about following policies, they sound like more of Conservative policy, or more of Labour policy?",410
"Reinstating fracking (the process of extracting shale gas): And thinking about the following policies, do they sound like more of a Conservative policy, or more of a Labour policy?","Reinstating fracking (the process of extracting shale gas): And thinking about following policies, they sound like more of Conservative policy, or more of Labour policy?",411
"Removing the cap on banker's bonuses: And thinking about the following policies, do they sound like more of a Conservative policy, or more of a Labour policy?","Removing cap on banker's bonuses: And thinking about following policies, they sound like more of Conservative policy, or more of Labour policy?",412
"Keeping the existing rate of corporation tax at 25%: And thinking about the following policies, do they sound like more of a Conservative policy, or more of a Labour policy?","Keeping existing rate of corporation tax at 25%: And thinking about following policies, they sound like more of Conservative policy, or more of Labour policy?",413
"Abolishing the 45% top rate of income tax for people earning over £125,000 a year: And thinking about the following policies, do they sound like more of a Conservative policy, or more of a Labour policy?","Abolishing 45% top rate of income tax people earning over £125,000 year: And thinking about following policies, they sound like more of Conservative policy, or more of Labour ",414
"Scrap 'green levies' from energy bills: And thinking about the following policies, do they sound like more of a Conservative policy, or more of a Labour policy?","Scrap 'green levies' from energy bills: And thinking about following policies, they sound like more of Conservative policy, or more of Labour policy?",415
"Putting the independent Bank of England under governmental control: And thinking about the following policies, do they sound like more of a Conservative policy, or more of a Labour policy?","Putting independent Bank of England under governmental control: And thinking about following policies, they sound like more of Conservative policy, or more of Labour policy?",416
"Financially deregulate the City of London: And thinking about the following policies, do they sound like more of a Conservative policy, or more of a Labour policy?","Financially deregulate City of London: And thinking about following policies, they sound like more of Conservative policy, or more of Labour policy?",417
"Compared to 2010, to what extent do you think Britain is in a better place now, a worse place now, or about the same?","Compared to 2010, to extent think Britain is in better place now, worse place now, or about same?",418
"Economy : To what extent would you say that each of the following is, or is not, a priority for the government at the moment?","Economy : To extent would say each of following is, or is not, priority government at moment?",419
"Healthcare : To what extent would you say that each of the following is, or is not, a priority for the government at the moment?","Healthcare : To extent would say each of following is, or is not, priority government at moment?",420
"Education : To what extent would you say that each of the following is, or is not, a priority for the government at the moment?","Education : To extent would say each of following is, or is not, priority government at moment?",421
"Immigration : To what extent would you say that each of the following is, or is not, a priority for the government at the moment?","Immigration : To extent would say each of following is, or is not, priority government at moment?",422
"Climate change : To what extent would you say that each of the following is, or is not, a priority for the government at the moment?","Climate change : To extent would say each of following is, or is not, priority government at moment?",423
"Thinking about the current government, to what extent would you say that they are more, or less corrupt than previous UK governments, or are they about the same?","Thinking about current government, to extent would say they are more, or less corrupt than previous UK governments, or are they about same?",424
When do you think the next UK General Election should be held?,When think next UK General Election should be held?,425
SUMMARY - (Rank 2): Which of the following policy issues are most important to you when deciding how to vote at the next General Election?,SUMMARY - (Rank 2): Which of following policy issues are most important to when deciding how to vote at next General Election?,426
SUMMARY - (Rank 3): Which of the following policy issues are most important to you when deciding how to vote at the next General Election?,SUMMARY - (Rank 3): Which of following policy issues are most important to when deciding how to vote at next General Election?,427
SUMMARY - (Rank 4): Which of the following policy issues are most important to you when deciding how to vote at the next General Election?,SUMMARY - (Rank 4): Which of following policy issues are most important to when deciding how to vote at next General Election?,428
SUMMARY - (Rank 5): Which of the following policy issues are most important to you when deciding how to vote at the next General Election?,SUMMARY - (Rank 5): Which of following policy issues are most important to when deciding how to vote at next General Election?,429
SUMMARY - (Rank 6): Which of the following policy issues are most important to you when deciding how to vote at the next General Election?,SUMMARY - (Rank 6): Which of following policy issues are most important to when deciding how to vote at next General Election?,430
SUMMARY - (Rank 7): Which of the following policy issues are most important to you when deciding how to vote at the next General Election?,SUMMARY - (Rank 7): Which of following policy issues are most important to when deciding how to vote at next General Election?,431
The economy: To what extent do you think that the government is handling each of the following policy areas well or badly?,The economy: To extent think government is handling each of following policy areas well or badly?,432
Inflation and the cost of living: To what extent do you think that the government is handling each of the following policy areas well or badly?,Inflation cost of living: To extent think government is handling each of following policy areas well or badly?,433
Immigration: To what extent do you think that the government is handling each of the following policy areas well or badly?,Immigration: To extent think government is handling each of following policy areas well or badly?,434
The NHS: To what extent do you think that the government is handling each of the following policy areas well or badly?,The NHS: To extent think government is handling each of following policy areas well or badly?,435
Housing: To what extent do you think that the government is handling each of the following policy areas well or badly?,Housing: To extent think government is handling each of following policy areas well or badly?,436
Crime: To what extent do you think that the government is handling each of the following policy areas well or badly?,Crime: To extent think government is handling each of following policy areas well or badly?,437
The environment and climate change: To what extent do you think that the government is handling each of the following policy areas well or badly?,The environment climate change: To extent think government is handling each of following policy areas well or badly?,438
Taxation: To what extent do you think that the government is handling each of the following policy areas well or badly?,Taxation: To extent think government is handling each of following policy areas well or badly?,439
Pensions: To what extent do you think that the government is handling each of the following policy areas well or badly?,Pensions: To extent think government is handling each of following policy areas well or badly?,440
Transport: To what extent do you think that the government is handling each of the following policy areas well or badly?,Transport: To extent think government is handling each of following policy areas well or badly?,441
Education: To what extent do you think that the government is handling each of the following policy areas well or badly?,Education: To extent think government is handling each of following policy areas well or badly?,442
Britain's relationship with the EU: To what extent do you think that the government is handling each of the following policy areas well or badly?,Britain's relationship with EU: To extent think government is handling each of following policy areas well or badly?,443
To what extent do you think it is appropriate or inappropriate for informal WhatsApp messages from elected and unelected government officials are made public as part of the Covid inquiry?,To extent think is appropriate or inappropriate informal WhatsApp messages from elected unelected government officials are made public as part of Covid inquiry?,444
"NHS: Do you believe that each of the following should be ran by the public sector, or by the private sector?","NHS: Do believe each of following should be ran by public sector, or by private sector?",445
"Schools: Do you believe that each of the following should be ran by the public sector, or by the private sector?","Schools: Do believe each of following should be ran by public sector, or by private sector?",446
"Buses: Do you believe that each of the following should be ran by the public sector, or by the private sector?","Buses: Do believe each of following should be ran by public sector, or by private sector?",447
"Water: Do you believe that each of the following should be ran by the public sector, or by the private sector?","Water: Do believe each of following should be ran by public sector, or by private sector?",448
"Railways: Do you believe that each of the following should be ran by the public sector, or by the private sector?","Railways: Do believe each of following should be ran by public sector, or by private sector?",449
"Energy: Do you believe that each of the following should be ran by the public sector, or by the private sector?","Energy: Do believe each of following should be ran by public sector, or by private sector?",450
"Postal service: Do you believe that each of the following should be ran by the public sector, or by the private sector?","Postal service: Do believe each of following should be ran by public sector, or by private sector?",451
"Prisons: Do you believe that each of the following should be ran by the public sector, or by the private sector?","Prisons: Do believe each of following should be ran by public sector, or by private sector?",452
"From what you've seen or heard, which of the following is closest to your view?","From you've seen or heard, which of following is closest to your view?",453
SUMMARY - (Top Rank): Which of the following policy issues are most important to you when deciding how to vote at the next General Election?,SUMMARY - (Top Rank): Which of following policy issues are most important to when deciding how to vote at next General Election?,454
Other (please specify): Which of the following policy issues are most important to you when deciding how to vote at the next General Election?,Other (please specify): Which of following policy issues are most important to when deciding how to vote at next General Election?,455
SUMMARY - (Sum: Positive): To what extent do you think that each of the following outcomes in YYYY would be positive or negative?,SUMMARY - (Sum: Positive): To extent think each of following outcomes in YYYY would be positive or negative?,456
SUMMARY - (Sum: Negative): To what extent do you think that each of the following outcomes in YYYY would be positive or negative?,SUMMARY - (Sum: Negative): To extent think each of following outcomes in YYYY would be positive or negative?,457
Keir Starmer becoming UK Prime Minister after the next General Election: To what extent do you think that each of the following outcomes in YYYY would be positive or negative?,Keir Starmer becoming UK Prime Minister after next General Election: To extent think each of following outcomes in YYYY would be positive or negative?,458
Rishi Sunak remaining UK Prime Minister after the next General Election: To what extent do you think that each of the following outcomes in YYYY would be positive or negative?,Rishi Sunak remaining UK Prime Minister after next General Election: To extent think each of following outcomes in YYYY would be positive or negative?,459
Donald Trump becoming US President after the next US Presidential Election: To what extent do you think that each of the following outcomes in YYYY would be positive or negative?,Donald Trump becoming US President after next US Presidential Election: To extent think each of following outcomes in YYYY would be positive or negative?,460
Joe Biden remaining US President after the next US Presidential Election: To what extent do you think that each of the following outcomes in YYYY would be positive or negative?,Joe Biden remaining US President after next US Presidential Election: To extent think each of following outcomes in YYYY would be positive or negative?,461
Nikki Haley becoming US President after the next US Presidential Election: To what extent do you think that each of the following outcomes in YYYY would be positive or negative?,Nikki Haley becoming US President after next US Presidential Election: To extent think each of following outcomes in YYYY would be positive or negative?,462
Ron DeSantis becoming US President after the next US Presidential Election: To what extent do you think that each of the following outcomes in YYYY would be positive or negative?,Ron DeSantis becoming US President after next US Presidential Election: To extent think each of following outcomes in YYYY would be positive or negative?,463
"Looking at each pair of statements, which do you think best describes the Conservative Party?","Looking at each pair of statements, which think best describes Conservative Party?",464
"Looking at each pair of statements, which do you think best describes the Labour Party?","Looking at each pair of statements, which think best describes Labour Party?",465
"Looking at each pair of statements, which do you think best describes Rishi Sunak?","Looking at each pair of statements, which think best describes Rishi Sunak?",466
"Looking at each pair of statements, which do you think best describes Keir Starmer?","Looking at each pair of statements, which think best describes Keir Starmer?",467
"Looking at each pair of statements, which do you think best describes Donald Trump?","Looking at each pair of statements, which think best describes Donald Trump?",468
"Looking at each pair of statements, which do you think best describes Joe Biden?","Looking at each pair of statements, which think best describes Joe Biden?",469
SUMMARY - (Sum: Support): To what extent do you support or oppose each of the following in your local area?,SUMMARY - (Sum: Support): To extent support or oppose each of following in your local area?,470
SUMMARY - (Sum: Oppose): To what extent do you support or oppose each of the following in your local area?,SUMMARY - (Sum: Oppose): To extent support or oppose each of following in your local area?,471
New housing developments: To what extent do you support or oppose each of the following in your local area?,New housing developments: To extent support or oppose each of following in your local area?,472
A new out-of-town shopping centre: To what extent do you support or oppose each of the following in your local area?,A new out-of-town shopping centre: To extent support or oppose each of following in your local area?,473
Pedestrianisation of your local high street: To what extent do you support or oppose each of the following in your local area?,Pedestrianisation of your local high street: To extent support or oppose each of following in your local area?,474
The introduction of a localised low emissions zone: To what extent do you support or oppose each of the following in your local area?,The introduction of localised low emissions zone: To extent support or oppose each of following in your local area?,475
The building of wind turbines: To what extent do you support or oppose each of the following in your local area?,The building of wind turbines: To extent support or oppose each of following in your local area?,476
A nuclear power station: To what extent do you support or oppose each of the following in your local area?,A nuclear power station: To extent support or oppose each of following in your local area?,477
"To what extent do you believe global climate change to be man-made, or a natural occurrence?","To extent believe global climate change to be man-made, or natural occurrence?",478
To what extent do you believe climate change to be exaggerated or not?,To extent believe climate change to be exaggerated or not?,479
What would you prefer for the UK?,What would prefer UK?,480
"Prince Andrew, brother to King Charles, was this week named in US court documents relating to the deceased American pedophile and sex trafficker, Jeffery Epstein. In the documents, Andrew is again accused of having committed sexual assault against an underage girl in 2001 at a house in London, accusations that have been public since 2014. In 2021, the Metropolitan Police conducted a review of the evidence relating to the allegations against Prince Andrew but took no further action. Which of the following statements best describes your view?","Prince Andrew, brother to King Charles, was this week named in US court documents relating to deceased American pedophile sex trafficker, Jeffery Epstein. In documents, Andrew",481
"Anti-social behaviour (ASB) is conduct that causes harassment, alarm or distress to a person. How often, if at all, are you experiencing or witnessing anti-social behaviour in your local area?","Anti-social behaviour (ASB) is conduct causes harassment, alarm or distress to person. How often, at all, are experiencing or witnessing anti-social behaviour in your local ar",482
You mentioned that you have experienced or witnessed anti-social behaviour in your local area. Has this behaviour ever made you feel any of the following?,You mentioned have experienced or witnessed anti-social behaviour in your local area. Has this behaviour ever made feel any of following?,483
"To what extent, if at all, has anti-social behaviour in your local area had a negative impact on your mental health?","To extent, at all, anti-social behaviour in your local area had negative impact on your mental health?",484
"To what extent, if at all, are you confident in the ability of the police to tackle anti-social behaviour in your local area?","To extent, at all, are confident in ability of police to tackle anti-social behaviour in your local area?",485
Dominic Raab: To what extent do you feel favourably or unfavourably towards each of the following?,Dominic Raab: To extent feel favourably or unfavourably towards each of following?,486
How do you feel about the monarchy in the UK?,How feel about monarchy in UK?,487
Should the UK?,Should UK?,488
Would you prefer for the UK?,Would prefer UK?,489
"Do you consider yourself to be a carer? A carer is anyone, including children and adults, who looks after a family member, partner or friend who needs help because of their illness, frailty, disability, a mental health problem or an addiction and cannot cope without their support. The care they give is unpaid.","Do consider yourself to be carer? A carer is anyone, including children adults, who looks after family member, partner or friend who needs help because of their illness, frail",490
Which of the following best describes your current financial situation?,Which of following best describes your current financial situation?,491
Do you have any of the following private health or dental insurance plans?,Do have any of following private health or dental insurance plans?,492
Does your workplace offer any of the following health-related workplace benefits?,Does your workplace offer any of following health-related workplace benefits?,493
"In the last 12 months, have you paid for a private health or dental care service? This could include a consultation, a medical procedure, a test or scan, getting medication, or any other private service. Please only select yes if you have personally paid to use private health services, including paying for health insurance or if you have accessed private care through a workplace scheme. This does not include receiving care through a private provider that was paid for by the NHS, nor routine payments for using NHS services, such as prescription charges or NHS dentistry.","In last 12 months, have paid private health or dental care service? This could include consultation, medical procedure, test or scan, getting medication, or any other private ",494
You said that you used private health care in the last 12 months. Please indicate the reason / reasons why you paid for private health care.,You said used private health care in last 12 months. Please indicate reason / reasons why paid private health care.,495
"You said that you paid for private health care in the last 12 months. Did you access this service in England, elsewhere in the UK, or in another country?","You said paid private health care in last 12 months. Did access this service in England, elsewhere in UK, or in another country?",496
"In the last 12 months, have you considered paying for private health care?","In last 12 months, have considered paying private health care?",497
Please indicate the reason / reasons why you have considered paying for private health care:,Please indicate reason / reasons why have considered paying private health care:,498
You said that you used private dental care in the last 12 months. Please indicate the reasons why you paid for private dental care.,You said used private dental care in last 12 months. Please indicate reasons why paid private dental care.,499
"In the last 12 months, has a professional working for the NHS advised you to consider paying for a private health service? For example, this could have been to avoid a waitlist, because the service you need wasn't offered by the NHS, or because you might have been able to get more appropriate care through a private provider.","In last 12 months, professional working NHS advised to consider paying private health service? For example, this could have been to avoid waitlist, because service need wasn't",500
"Summary Problem: To what extent would you say that homelessness is, or is not, a problem in each of the following areas?","Summary Problem: To extent would say homelessness is, or is not, problem in each of following areas?",501
"Summary Not a problem: To what extent would you say that homelessness is, or is not, a problem in each of the following areas?","Summary Not problem: To extent would say homelessness is, or is not, problem in each of following areas?",502
"In your neighbourhood: To what extent would you say that homelessness is, or is not, a problem in each of the following areas?","In your neighbourhood: To extent would say homelessness is, or is not, problem in each of following areas?",503
"In the UK's big cities: To what extent would you say that homelessness is, or is not, a problem in each of the following areas?","In UK's big cities: To extent would say homelessness is, or is not, problem in each of following areas?",504
"In the UK generally: To what extent would you say that homelessness is, or is not, a problem in each of the following areas?","In UK generally: To extent would say homelessness is, or is not, problem in each of following areas?",505
"Summary Good job: To what extent do you think that, generally, the police in the UK do a good or bad job at each of the following?","Summary Good job: To extent think that, generally, police in UK good or bad job at each of following?",506
"Summary Bad job: To what extent do you think that, generally, the police in the UK do a good or bad job at each of the following?","Summary Bad job: To extent think that, generally, police in UK good or bad job at each of following?",507
"Having a visible presence in your area : To what extent do you think that, generally, the police in the UK do a good or bad job at each of the following?","Having visible presence in your area : To extent think that, generally, police in UK good or bad job at each of following?",508
"Acting as a deterrent for criminal activity : To what extent do you think that, generally, the police in the UK do a good or bad job at each of the following?","Acting as deterrent criminal activity : To extent think that, generally, police in UK good or bad job at each of following?",509
"Policing peaceful protests in the UK : To what extent do you think that, generally, the police in the UK do a good or bad job at each of the following?","Policing peaceful protests in UK : To extent think that, generally, police in UK good or bad job at each of following?",510
"Policing major events i.e. football matches : To what extent do you think that, generally, the police in the UK do a good or bad job at each of the following?","Policing major events i.e. football matches : To extent think that, generally, police in UK good or bad job at each of following?",511
"Investigating major crimes : To what extent do you think that, generally, the police in the UK do a good or bad job at each of the following?","Investigating major crimes : To extent think that, generally, police in UK good or bad job at each of following?",512
"Investigating minor crimes : To what extent do you think that, generally, the police in the UK do a good or bad job at each of the following?","Investigating minor crimes : To extent think that, generally, police in UK good or bad job at each of following?",513
Which of the following is closest to your view? 'The police in the UK...,Which of following is closest to your view? 'The police in UK...,514
Summary Well: To what extent do you think that the police handle each of the following types protests / demonstrations well or badly?,Summary Well: To extent think police handle each of following types protests / demonstrations well or badly?,515
Summary Badly: To what extent do you think that the police handle each of the following types protests / demonstrations well or badly?,Summary Badly: To extent think police handle each of following types protests / demonstrations well or badly?,516
Pro-Palestine protests : To what extent do you think that the police handle each of the following types protests / demonstrations well or badly?,Pro-Palestine protests : To extent think police handle each of following types protests / demonstrations well or badly?,517
"Environmental protests e.g. Just Stop Oil, Extinction Rebellion : To what extent do you think that the police handle each of the following types protests / demonstrations well or badly?","Environmental protests e.g. Just Stop Oil, Extinction Rebellion : To extent think police handle each of following types protests / demonstrations well or badly?",518
Black Lives Matter protests : To what extent do you think that the police handle each of the following types protests / demonstrations well or badly?,Black Lives Matter protests : To extent think police handle each of following types protests / demonstrations well or badly?,519
Anti-lockdown protests : To what extent do you think that the police handle each of the following types protests / demonstrations well or badly?,Anti-lockdown protests : To extent think police handle each of following types protests / demonstrations well or badly?,520
Anti-Brexit protests : To what extent do you think that the police handle each of the following types protests / demonstrations well or badly?,Anti-Brexit protests : To extent think police handle each of following types protests / demonstrations well or badly?,521
